Gem Type,Gem,12.2 - Shared,14.3 - UC shared,15.4 - UC shared,Package
,Todo,Not Supported,Pending,Pending,ProphecySparkAbinitioPython
,Assertions,Not Supported,Supported,Supported,ProphecySparkAbinitioPython
,Log,Not Supported,Supported,Supported,ProphecySparkAbinitioPython
Subgraph,Basic,Supported,Supported,Supported,
,Published subgraph,Supported,Supported,Supported,
,WhileIterator,Not Supported,Supported,Supported,ProphecySparkAlteryxPython
,Table Iterator,Supported,Supported,Supported,ProphecySparkBasicPython
Streaming,Catalog,Pending,Pending,Pending,ProphecyStreamingPython
,SplunkHEC,Pending,Pending,Pending,ProphecyStreamingPython
,Watermark,Pending,Pending,Pending,ProphecyStreamingPython
,csv,Not Supported,Not Supported,Not Supported,ProphecyStreamingPython
,delta,Not Supported,Not Supported,Not Supported,ProphecyStreamingPython
,json,Not Supported,Not Supported,Not Supported,ProphecyStreamingPython
,Kafka,Not Supported,Not Supported,Not Supported,ProphecyStreamingPython
,orc,Not Supported,Not Supported,Not Supported,ProphecyStreamingPython
,parquet,Not Supported,Not Supported,Not Supported,ProphecyStreamingPython
User Defined Custom Gems,CustomAVROBatch,Supported,Supported,Supported,
,ComplexCategoryReformat1,Supported,Supported,Supported,
,CustomLimit,Supported,Supported,Supported,
,CustomOrderByMainTransformCategory,Supported,Supported,Supported,
,CustomReformatGem,Supported,Supported,Supported,
,CustomSetOperation,Supported,Supported,Supported,
,CustomSQLStatementMainCustomCategory,Supported,Supported,Supported,
,DepAvro,Not Supported,Supported,Supported,
,DepDedup,Not Supported,Supported,Supported,
,DepLimit,Not Supported,Supported,Supported,
,DepReformat,Not Supported,Supported,Supported,
,DepReformatScala,Not Supported,Supported,Supported,
,SQLStatement,Supported,Supported,Supported,
,CustomParquetStreamingSource,Pending,Pending,Pending,
