Package,Gem,14.3 - UC shared,15.4 - UC shared,Minimum package version,Min Scala libs version,Min Python libs version,Doc file prefix,Doc Additional libs requirement
ProphecyWebAppPython,Tableau,Not supported,Not supported,0.0.6,,1.9.11,tbd,Please inquire
ProphecySparkAbinitioPython,Assertions,Supported,Supported,,,,(new),
ProphecySparkAbinitioPython,Log,Supported,Supported,,,,(new),
None,Basic,Supported,Supported,,,,basicSubgraph,
None,Published subgraph,Supported,Supported,,,,(new),
ProphecySparkAlteryxPython,WhileIterator,Supported,Supported,,,,(new),
ProphecySparkBasicsPython,Table Iterator,Supported,Supported,0.1.4,7.1.66,1.8.4,tableIterator,
ProphecyStreamingPython,csv,Not supported,Not supported,,,,,
ProphecyStreamingPython,delta,Not supported,Not supported,,,,,
ProphecyStreamingPython,json,Not supported,Not supported,,,,,
ProphecyStreamingPython,Kafka,Not supported,Not supported,,,,kafka-stream,
ProphecyStreamingPython,orc,Not supported,Not supported,,,,,
ProphecyStreamingPython,parquet,Not supported,Not supported,,,,,
None,CustomAVROBatch,Supported,Supported,,,,,
None,ComplexCategoryReformat1,Supported,Supported,,,,,
None,CustomLimit,Supported,Supported,,,,,
None,CustomOrderByMainTransformCategory,Supported,Supported,,,,,
None,CustomReformatGem,Supported,Supported,,,,,
None,CustomSetOperation,Supported,Supported,,,,,
None,CustomSQLStatementMainCustomCategory,Supported,Supported,,,,,
None,DepAvro,Supported,Supported,,,,,
None,DepDedup,Supported,Supported,,,,,
None,DepLimit,Supported,Supported,,,,,
None,DepReformat,Supported,Supported,,,,,
None,DepReformatScala,Supported,Supported,,,,,
None,SQLStatement,Supported,Supported,,,,,
