Package,Gem,12.2 - Shared,14.3 - UC shared,15.4 - UC shared,Minimum package version,Min Scala libs version,Min Python libs version,Gem Type,doc-file-prefix
ProphecySparkBasicPython,Table Iterator,Pass,Pass,Pass,0.1.4,7.1.66,1.8.4,Subgraph,tableIterator
ProphecyStreamingPython,Catalog,TBD,TBD,TBD,,,,Streaming,
ProphecyStreamingPython,SplunkHEC,TBD,TBD,TBD,,,,Streaming,
ProphecyStreamingPython,Watermark,TBD,TBD,TBD,,,,Streaming,
ProphecyStreamingPython,csv,Not supported,Not supported,Not supported,,,,Streaming,
ProphecyStreamingPython,delta,Not supported,Not supported,Not supported,,,,Streaming,
ProphecyStreamingPython,json,Not supported,Not supported,Not supported,,,,Streaming,
ProphecyStreamingPython,Kafka,Not supported,Not supported,Not supported,,,,Streaming,kafka-stream
ProphecyStreamingPython,orc,Not supported,Not supported,Not supported,,,,Streaming,
ProphecyStreamingPython,parquet,Not supported,Not supported,Not supported,,,,Streaming,
